t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
8067,-1208,113,16174,7,-44,111,1,12,1568,302,
8088,-1090,138,16161,-169,12,117,1,5,1575,305,
8108,-1288,153,16188,-199,9,113,1,12,1570,302,
8128,-1219,124,16176,-110,19,121,1,10,1570,306,
8149,-1243,225,16183,-141,8,119,1,14,1568,306,
8169,-1297,151,16184,-60,-59,118,1,8,1570,308,
8189,-1256,142,16183,-56,-20,145,1,12,1570,300,
8210,-1221,206,16162,-126,-49,94,1,12,1560,306,
8230,-1179,136,16158,-262,-40,59,1,12,1564,304,
8251,-1208,223,16170,-379,-52,28,1,18,1568,300,
8271,-1235,160,16176,-486,-88,120,1,15,1571,309,
8291,-1455,45,16152,-321,1,440,1,9,1569,299,
8312,-1534,118,16154,-31,148,896,1,18,1564,306,
8332,-1247,294,16183,0,82,1297,1,19,1569,303,
8352,-926,138,16214,-174,-2,1409,1,17,1571,311,
8373,-1078,-33,16203,-386,57,1180,1,12,1566,304,
8393,-1330,112,16185,-480,114,943,1,13,1565,307,
8413,-1322,244,16181,-531,10,903,1,19,1573,303,
8423,-1298,200,16199,-588,-15,883,1,14,1572,306,
8444,-1287,105,16184,-537,-51,763,1,13,1567,301,
8464,-1225,-44,16134,-113,-257,636,1,17,1563,303,
8485,-1423,-46,16258,280,-423,563,1,16,1566,312,
8505,-1174,-326,16939,613,-366,492,1,18,1570,304,
8525,-1126,-202,17391,1000,135,344,1,12,1566,306,
8546,-942,-151,17719,1605,965,159,1,17,1567,307,
8566,-895,-45,17969,2328,1570,-27,1,10,1554,312,
8586,-911,145,17962,2877,1714,-140,1,22,1560,306,
8607,-861,335,17783,3030,1508,-173,1,10,1562,306,
8627,-815,399,17458,2840,1131,-135,1,10,1566,308,
8648,-705,463,17224,2449,552,-46,1,13,1569,311,
8668,-539,563,17158,1934,48,32,1,12,1566,308,
8688,-520,577,17080,1390,109,137,1,12,1564,304,
8709,-604,424,16952,898,495,232,1,5,1563,309,
8729,-740,124,16735,447,830,448,1,9,1567,307,
8749,-784,-52,16696,174,939,694,1,14,1566,306,
8770,-776,-139,16648,15,737,864,1,14,1574,308,
8790,-624,-156,16494,-34,353,989,1,1,1569,311,
8810,-458,-69,16287,-59,91,1055,1,10,1570,304,
8831,-358,74,16134,-87,-185,1040,1,9,1569,303,
8851,-310,171,16064,-130,-647,966,1,11,1569,309,
8871,-314,107,16072,-147,-1305,873,1,15,1571,311,
8892,-352,-7,16154,-149,-2008,846,1,12,1564,308,
8912,-426,-5,16203,-274,-2362,896,1,10,1564,312,
8933,-410,37,16253,-369,-2051,876,1,16,1568,304,
8953,-322,154,16280,-435,-1307,819,1,6,1566,308,
8973,-301,293,16244,-528,-505,715,1,4,1566,310,
8994,-409,408,16096,-646,216,658,1,9,1567,299,
9014,-425,520,16018,-728,759,586,1,6,1564,294,
9034,-359,695,15996,-707,914,499,1,13,1571,301,
9055,-325,802,15910,-622,883,381,1,9,1565,307,
9075,-329,743,15736,-505,846,306,1,11,1569,297,
9095,-387,605,15665,-289,722,288,1,9,1565,305,
9116,-492,561,15865,42,414,282,1,16,1574,298,
9136,-566,561,15915,509,128,294,1,24,1566,308,
9156,-575,512,15799,1028,176,312,1,8,1568,308,
9177,-494,504,15769,1484,501,324,1,15,1569,305,
9197,-477,629,15841,1904,802,314,1,21,1569,303,
9218,-524,712,15859,2244,885,290,1,14,1566,308,
9238,-520,736,15762,2490,857,249,1,10,1566,296,
9258,-475,743,15677,2611,820,203,1,8,1570,296,
9279,-456,747,15533,2650,834,186,1,13,1575,297,
9299,-418,712,15390,2604,913,222,1,13,1567,299,
9320,-312,742,15428,2533,958,282,1,8,1564,300,
9340,-37,812,15605,2566,854,303,1,13,1563,293,
9360,347,867,15762,2670,693,282,1,11,1569,307,
9380,630,872,15896,2825,633,245,1,11,1561,297,
9401,846,910,15977,3017,659,136,1,6,1570,314,
9421,1044,922,15944,3150,738,1,1,11,1569,307,
9442,1251,989,15993,3184,798,-103,1,1,1567,309,
9462,1377,993,15967,3147,742,-234,1,3,1573,299,
9482,1528,960,15978,3192,640,-298,1,-3,1573,303,
9503,1704,963,15940,3269,567,-349,1,0,1572,298,
9523,1859,993,15888,3309,536,-354,1,5,1571,311,
9543,1996,1033,15889,3293,536,-347,1,2,1570,308,
9564,2127,1074,15948,3304,536,-328,1,-1,1563,307,
9584,2251,1090,15960,3311,569,-282,1,9,1577,299,
9605,2383,1107,15983,3379,648,-212,1,-2,1578,302,
9625,2503,1177,15975,3515,673,-136,1,5,1569,305,
9645,2597,1264,15832,3599,719,-98,1,3,1565,311,
9666,2765,1292,15744,3702,880,-75,1,2,1568,308,
9686,2949,1366,15721,3877,1005,-78,1,-5,1569,311,
9706,3122,1406,15626,4044,950,-95,1,-5,1573,319,
9727,3269,1418,15556,4212,747,-117,1,-6,1574,300,
9747,3445,1417,15454,4347,494,-131,1,-5,1569,309,
9767,3598,1435,15375,4421,229,-144,1,-11,1571,315,
9788,3716,1404,15221,4450,42,-150,1,-10,1574,312,
9808,3807,1351,15176,4473,-73,-171,1,-10,1568,316,
9829,3884,1373,15148,4552,-198,-235,1,-11,1573,315,
9849,4116,1422,15093,4640,-295,-364,1,-19,1573,309,
9869,4476,1386,15159,4655,-216,-493,1,-14,1574,322,
9890,4800,1318,15202,4612,35,-585,1,-20,1566,316,
9910,5103,1233,15204,4492,315,-628,1,-15,1577,311,
9930,5389,1218,15175,4342,518,-635,1,-19,1567,315,
9951,5631,1284,15157,4230,507,-564,1,-16,1572,320,
9971,5851,1335,15184,4205,375,-524,1,-25,1571,321,
9991,6054,1357,15186,4276,252,-487,1,-20,1578,324,
10012,6165,1335,15085,4399,256,-465,1,-25,1581,327,
10032,6271,1308,14940,4529,309,-472,1,-21,1577,315,
10053,6372,1309,14782,4611,322,-479,1,-15,1571,319,
10073,6464,1335,14575,4598,327,-458,1,-22,1578,310,
10093,6517,1371,14377,4481,336,-443,1,-32,1582,320,
10114,6679,1390,14304,4337,290,-420,1,-24,1568,322,
10134,6915,1418,14256,4160,275,-411,1,-35,1575,319,
10155,7130,1396,14265,4010,401,-436,1,-31,1577,325,
10175,7252,1314,14225,3987,570,-441,1,-35,1575,323,
10195,7397,1249,14168,4032,672,-402,1,-27,1571,321,
10216,7576,1201,14068,4068,686,-312,1,-30,1578,326,
10236,7733,1226,14025,4100,700,-222,1,-31,1581,325,
10256,7958,1300,13935,4165,785,-175,1,-39,1583,325,
10277,8241,1329,13849,4327,895,-153,1,-39,1587,323,
10297,8494,1331,13784,4576,877,-142,1,-41,1567,325,
10317,8695,1323,13600,4882,820,-105,1,-34,1572,322,
10338,8871,1420,13437,5169,758,-106,1,-36,1582,326,
10358,9064,1507,13185,5434,654,-141,1,-51,1583,329,
10378,9246,1648,12894,5619,534,-201,1,-43,1579,313,
10399,9379,1776,12676,5643,403,-291,1,-42,1580,328,
10419,9492,1827,12458,5604,309,-422,1,-44,1578,320,
10440,9612,1837,12290,5543,321,-565,1,-48,1578,324,
10460,9771,1794,12165,5498,391,-708,1,-46,1582,322,
10480,9964,1689,12129,5483,488,-828,1,-54,1580,326,
10501,10237,1589,12180,5612,577,-921,1,-49,1583,331,
10521,10475,1501,12080,5862,712,-964,1,-49,1577,323,
10541,10735,1509,11896,6113,868,-948,1,-54,1586,328,
10562,11045,1569,11638,6327,871,-919,1,-61,1581,327,
10582,11313,1589,11299,6468,742,-877,1,-56,1582,314,
10603,11613,1663,11020,6590,567,-857,1,-64,1584,318,
10623,11815,1733,10669,6707,397,-901,1,-67,1587,329,
10643,11954,1725,10367,6802,170,-990,1,-66,1582,322,
10664,12082,1642,10067,6876,-133,-1079,1,-66,1586,326,
10684,12239,1566,9845,6902,-467,-1149,1,-71,1581,317,
10704,12434,1501,9595,6859,-723,-1217,1,-63,1577,321,
10725,12615,1364,9492,6743,-906,-1265,1,-67,1585,333,
10745,12765,1161,9380,6676,-1028,-1256,1,-74,1584,322,
10765,12992,1056,9212,6651,-1059,-1189,1,-76,1586,324,
10786,13274,1028,9004,6675,-1023,-1116,1,-78,1578,320,
10806,13527,961,8752,6800,-1069,-1041,1,-79,1571,325,
10826,13703,856,8440,6979,-1287,-966,1,-82,1580,320,
10847,13754,713,8004,7170,-1580,-875,1,-85,1577,321,
10867,13923,616,7768,7293,-1748,-736,1,-92,1586,324,
10887,13946,565,7679,7472,-1613,-662,1,-83,1577,325,
10908,13922,480,7606,7821,-1302,-631,1,-95,1583,323,
10928,14066,420,7286,8118,-946,-604,1,-98,1580,316,
10949,14198,371,6830,8214,-647,-553,1,-91,1579,323,
10969,14329,329,6383,8148,-400,-500,1,-84,1572,316,
10989,14547,308,5981,7973,-207,-440,1,-91,1583,307,
11010,14804,355,5580,7710,-17,-414,1,-96,1582,314,
11030,14915,344,5292,7498,55,-435,1,-99,1579,317,
11050,14983,268,4919,7211,-94,-449,1,-98,1578,312,
11071,15094,275,4476,6771,-220,-467,1,-103,1579,317,
11091,15090,297,4218,6261,-226,-526,1,-111,1581,313,
11112,15034,288,4016,5802,-218,-646,1,-105,1587,303,
11132,15133,236,3797,5426,-288,-774,1,-106,1582,308,
11152,15214,79,3752,5103,-346,-849,1,-109,1575,319,
11173,15306,-118,3781,4926,-233,-842,1,-112,1580,302,
11193,15420,-217,3611,4881,-94,-762,1,-111,1573,319,
11213,15541,-221,3249,4862,-104,-655,1,-107,1577,311,
11234,15660,-137,3009,4871,-282,-577,1,-114,1580,304,
11254,15857,-103,2699,4874,-386,-564,1,-114,1578,300,
11275,15998,-154,2388,4890,-381,-581,1,-114,1578,308,
11295,16032,-280,2039,4920,-540,-538,1,-117,1581,309,
11315,16036,-377,1731,4925,-916,-412,1,-115,1575,303,
11336,15943,-457,1527,4906,-1371,-209,1,-117,1575,307,
11356,15831,-441,1399,4872,-1654,10,1,-114,1574,306,
11376,15855,-247,1287,4827,-1651,141,1,-117,1579,307,
11396,15903,-60,1116,4754,-1471,128,1,-115,1575,303,
11417,15882,-46,903,4693,-1273,32,1,-120,1574,300,
11438,15927,-142,708,4631,-1097,-1,1,-121,1583,299,
11458,16000,-160,458,4445,-883,24,1,-123,1579,305,
11478,16004,-115,307,4158,-651,31,1,-119,1569,305,
11498,15963,-60,161,3875,-377,21,1,-126,1576,298,
11519,15913,-54,-11,3676,-130,-9,1,-124,1580,298,
11539,15914,-92,-235,3489,0,-30,1,-120,1574,300,
11560,15995,-117,-488,3239,64,-39,1,-127,1581,305,
11580,16092,-109,-616,2969,105,-45,1,-124,1574,298,
11600,16150,-89,-734,2742,98,-67,1,-126,1568,298,
11621,16071,-113,-889,2535,104,-93,1,-130,1576,292,
11641,16024,-112,-1119,2239,90,-106,1,-128,1578,298,
11661,16052,-63,-1235,1896,-23,-154,1,-130,1576,300,
11681,16095,-70,-1264,1556,-165,-239,1,-125,1573,303,
11702,16105,-176,-1254,1271,-261,-310,1,-130,1578,292,
11723,16146,-318,-1247,1051,-275,-288,1,-127,1575,295,
11743,16167,-395,-1232,825,-263,-177,1,-120,1572,298,
11763,16187,-385,-1245,563,-295,-18,1,-121,1577,299,
11784,16174,-335,-1276,269,-324,146,1,-125,1577,291,
11804,16193,-259,-1287,-70,-282,294,1,-133,1579,295,
11824,16193,-182,-1286,-375,-219,393,1,-122,1574,290,
11844,16172,-156,-1274,-557,-247,453,1,-126,1572,298,
11865,16136,-155,-1288,-609,-295,486,1,-121,1579,287,
11885,16093,-158,-1299,-582,-365,503,1,-127,1573,295,
11906,16070,-154,-1317,-532,-462,508,1,-124,1582,296,
11926,16037,-126,-1335,-477,-565,506,1,-128,1574,300,
11946,16039,-61,-1291,-419,-697,489,1,-131,1579,295,
11967,16041,-13,-1216,-367,-730,447,1,-129,1581,293,
11987,16050,13,-1103,-315,-634,384,1,-125,1571,297,
12008,16062,26,-1042,-269,-436,315,1,-128,1582,298,
12028,16035,-25,-1049,-238,-195,237,1,-123,1569,293,
12048,16015,-98,-1064,-202,-24,175,1,-132,1576,292,
12069,16030,-189,-1071,-141,20,140,1,-126,1574,298,
12089,16071,-267,-1050,-73,-20,143,1,-118,1576,294,
12109,16101,-247,-1063,-11,-89,164,1,-130,1576,298,
12130,16102,-162,-1072,-8,-172,167,1,-134,1572,296,
12150,16086,-122,-1077,-55,-194,142,1,-127,1575,291,
12170,16039,-117,-1048,-139,-141,136,1,-125,1575,293,
12191,16006,-103,-1036,-255,-87,138,1,-126,1572,300,
12211,15959,-132,-1017,-390,-58,169,1,-131,1585,295,
12232,15984,-149,-968,-570,18,193,1,-119,1577,297,
12252,15992,-109,-956,-805,135,180,1,-121,1581,297,
12272,16015,-100,-926,-1032,207,116,1,-131,1581,293,
12293,15970,-158,-891,-1242,221,63,1,-133,1573,303,
12313,15950,-223,-890,-1468,215,21,1,-134,1574,300,
12333,15976,-273,-842,-1749,158,-20,1,-129,1573,301,
12354,15969,-352,-747,-2083,40,-50,1,-125,1577,293,
12374,15967,-364,-629,-2513,-94,-49,1,-128,1584,292,
