t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
10599,1414,14481,6979,-413,-7423,1135,1,13,1617,237,
10619,1413,14205,7168,-379,-6859,1147,1,14,1616,226,
10640,1387,13970,7334,-385,-6232,1254,1,17,1619,239,
10660,1325,13694,7565,-361,-5688,1492,1,17,1619,231,
10681,1119,13403,7773,-335,-5281,1853,1,21,1621,233,
10701,955,13212,7918,-323,-4855,2333,1,16,1606,242,
10721,909,13069,8092,-288,-4316,2799,1,18,1614,244,
10742,924,13176,8162,-291,-3697,3172,1,20,1606,230,
10762,1056,13845,8319,-267,-3344,3070,1,22,1614,240,
10782,1087,14468,8516,-175,-3276,2358,1,19,1611,247,
10803,867,14424,8753,-36,-3345,1478,1,25,1611,235,
10823,820,13996,8932,35,-3415,919,1,22,1614,236,
10843,725,13782,8961,158,-3652,553,1,17,1619,247,
10864,629,13656,8957,321,-4094,230,1,20,1612,252,
10884,585,13404,9096,346,-4612,-19,1,24,1612,250,
10904,617,13156,9286,190,-5094,-77,1,20,1612,248,
10925,625,12930,9483,-57,-5465,-44,1,20,1608,252,
10945,600,12748,9673,-234,-5673,-3,1,23,1619,245,
10966,543,12612,9834,-309,-5847,6,1,16,1612,256,
10986,524,12417,10065,-257,-6127,-40,1,16,1604,254,
11006,608,12240,10365,-245,-6516,-44,1,19,1619,249,
11026,652,12055,10652,-324,-6866,-38,1,13,1609,255,
11047,654,11801,10890,-422,-7090,-38,1,22,1610,264,
11067,643,11551,11050,-474,-7219,-50,1,14,1614,254,
11087,651,11334,11295,-544,-7278,-56,1,20,1606,256,
11108,600,11064,11573,-649,-7168,-38,1,24,1600,262,
11128,534,10807,12005,-675,-6837,-46,1,22,1606,258,
11148,513,10539,12283,-610,-6472,-74,1,11,1597,257,
11169,470,10338,12386,-601,-6328,23,1,16,1608,266,
11189,361,10196,12494,-705,-6506,253,1,13,1597,257,
11209,274,10059,12705,-802,-6884,448,1,19,1601,273,
11230,357,9845,12964,-755,-7437,470,1,19,1597,259,
11250,417,9507,13228,-607,-8127,401,1,13,1599,269,
11270,406,9121,13666,-396,-8721,339,1,19,1599,277,
11291,449,8574,14119,-127,-8840,351,1,18,1596,278,
11311,495,8083,14077,48,-8440,484,1,18,1598,278,
11331,501,7907,13868,25,-7569,613,1,16,1598,272,
11352,477,7898,13693,-111,-6459,581,1,20,1590,270,
11372,456,7880,13793,-320,-5169,424,1,25,1591,283,
11393,373,7733,14031,-501,-3814,169,1,13,1585,275,
11413,258,7519,14256,-560,-2894,-38,1,21,1593,273,
11433,206,7251,14345,-507,-2613,-70,1,23,1589,283,
11454,331,6998,14341,-445,-3004,63,1,16,1594,276,
11474,512,6873,14278,-501,-4046,240,1,19,1591,277,
11494,626,6832,14429,-576,-5432,210,1,14,1584,278,
11515,758,6663,14789,-588,-6880,39,1,15,1585,277,
