t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
10083,-2065,235,15085,-645,299,3711,1,10,1484,276,
10103,-1873,381,14988,-1070,-415,3943,1,12,1476,276,
10123,-1739,571,14966,-1420,-1394,4381,1,14,1480,280,
10144,-1612,676,15101,-1642,-2266,4798,1,16,1476,264,
10164,-1773,529,16017,-1568,-2525,5025,1,15,1475,271,
10185,-2387,422,17431,-1305,-1332,4986,1,12,1478,262,
10205,-2837,304,18139,-763,232,4785,1,9,1473,273,
10225,-3206,-41,18181,215,1329,4452,1,0,1486,266,
10246,-3303,-490,17883,1253,1966,4280,1,10,1484,276,
10266,-3147,-679,17281,1945,2358,4332,1,3,1471,287,
10287,-2945,-434,16469,2012,2805,4407,1,5,1473,277,
10307,-2708,-12,15810,1455,3231,4392,1,7,1471,279,
10327,-2531,241,15473,689,3351,4362,1,0,1480,276,
10348,-2450,70,15675,143,3126,4469,1,-3,1467,281,
10368,-2396,60,15922,48,2673,4743,1,4,1488,270,
10388,-2220,301,16090,443,2201,5016,1,6,1474,272,
10409,-2013,699,16307,982,1904,5267,1,2,1482,276,
10429,-2079,848,16259,1342,1972,5348,1,7,1471,277,
10449,-2123,828,16086,1373,2218,5309,1,-7,1469,275,
10470,-1861,731,16062,1158,2535,5273,1,-6,1468,282,
10490,-1825,846,16172,751,2936,5388,1,-8,1466,274,
10511,-2150,924,16348,272,3371,5472,1,-9,1465,273,
10531,-2483,1043,16384,49,3629,5348,1,-6,1474,282,
10551,-2519,1278,16197,73,3403,5124,1,-9,1473,281,
10572,-2396,1568,15857,113,2737,4959,1,-6,1468,282,
10592,-2268,1850,15558,98,2009,4744,1,-14,1464,280,
10612,-2253,2020,15381,48,1147,4506,1,-12,1470,290,
10633,-2213,2022,15143,-96,182,4351,1,-21,1469,283,
10653,-2071,1974,15091,-436,-471,4194,1,-16,1464,282,
10673,-2085,1972,15257,-844,-788,4006,1,-11,1459,287,
10694,-2153,1893,15475,-1033,-1015,3834,1,-10,1462,278,
10714,-2157,1739,15790,-977,-1461,3706,1,-17,1467,281,
10735,-2117,1299,16197,-598,-1899,3746,1,-19,1465,269,
10755,-2119,868,16489,-169,-2024,3927,1,-17,1465,283,
10775,-2310,435,16479,22,-1726,4197,1,-18,1464,278,
10796,-2594,182,16419,-13,-1303,4380,1,-14,1462,276,
10816,-2802,356,16488,-22,-794,4318,1,-21,1467,279,
10836,-2758,620,16683,279,-350,4114,1,-26,1456,264,
10857,-2568,910,16587,873,-206,3991,1,-25,1469,279,
10877,-2491,1072,16165,1433,-434,3946,1,-27,1465,271,
10897,-2660,963,15668,1565,-755,3858,1,-28,1464,266,
10918,-2763,517,15149,1084,-1151,3686,1,-26,1466,282,
10938,-2547,404,14679,-27,-1564,3584,1,-24,1460,270,
10959,-2029,560,14481,-1691,-1516,3576,1,-29,1469,269,
10979,-1975,270,14628,-3262,-998,3633,1,-24,1458,268,
